ID;Round;Direction;Authors;Year;Title;Journal;Source Type;Keywords;Relevance;Included;Notes;DOI
1;Seed;No direction;Attah, Garba, Gil-Ozoudeh & Iwuanyanwu;2024;Digital transformation in the energy sector: Comprehensive review of sustainability impacts and economic benefits;Int. j. adv. economics;SSCI/SCI;Digital Transformation, Energy Sector, Sustainability, Economic Benefits;High;Yes;Seed paper;10.51594/ijae.v6i12.1751
2;Seed;No direction;Attah, Matthew, Garba, Gil-Ozoudeh & Iwuanyanwu;2024;Strategic frameworks for digital transformation across logistics and energy sectors: Bridging technology with business strategy;Open Access Res. J. Sci. Technol.;SSCI/SCI;Digital Transformation, Logistics, Energy, Business Strategy;High;Yes;Seed paper;10.53022/oarjst.2024.12.2.0142
3;Seed;No direction;Dietrich, Turgut, Palm & Louw;2021;Smart Contract-Based Blockchain Solution to Reduce Supply Chain Risks;HICL – Hamburg International Conference of Logistics;Not indexed;Blockchain, Smart Contracts, Supply Chain, Risk;High;Yes;Seed paper;N/A
4;Seed;No direction;Du & Qu;2024;Is Digital Transformation a Burden or a Help? From the Perspective of Enterprise Sustainable Development;Sustainability;SSCI/SCI;Digital Transformation, Sustainability, Enterprise Development;High;Yes;Seed paper;10.3390/su16030980
5;Seed;No direction;Menichini, Salierno & Strollo;2024;Digital Transformation in the Agri-food Sector: A Comparative Analysis of Industry 4.0 Innovations by Italian Sustainability Leaders;ECMLG;Scopus;Digital Transformation, Agri-food, Industry 4.0, Sustainability;High;Yes;Seed paper;10.34190/ecmlg.20.1.3058
6;Seed;No direction;Spigarelli, Compagnucci & Lepore;2024;Blockchain unlocking collaborative opportunities for environmental sustainability through innovation intermediaries;J Technol Transf;SSCI/SCI;Blockchain, Environmental Sustainability, Innovation Intermediaries, Collaboration;High;Yes;Seed paper;10.1007/s10961-024-10106-5
7;Seed;No direction;Vrabie;2023;E-Government 3.0: An AI Model to Use for Enhanced Local Democracies;Sustainability;SSCI/SCI;E-Government, AI, Local Democracy, Machine Learning, NLP;High;Yes;Seed paper;10.3390/su15129572
9;Round 1;Backward;Agupugo;2023;Design of A Renewable Energy-Based Microgrid That Comprises Only PV and Battery Storage to Sustain Critical Loads in Nigeria Air Force Base Kaduna;ResearchGate;Unknown;Renewable Energy, Microgrid, PV, Battery Storage;Pending;No;"Fails: focuses on renewable energy microgrid engineering, not digital transformation or decentralization as governance; sustainability is ecological/technical";N/A
10;Round 1;Backward;Agupugo, Ajayi, Nwanevu & Oladipo;2022;Advancements in Technology for Renewable Energy Microgrids;Open Access Res. J. Sci. Technol.;Unknown;Renewable Energy, Microgrids, Technology;Pending;No;"Fails: focuses on renewable energy microgrid engineering, not digital transformation or decentralization as governance; sustainability is ecological/technical";N/A
11;Round 1;Backward;Agupugo & Tochukwu;2021;A model to assess the economic viability of renewable energy microgrids: A case study of Imufu Nigeria;Open Access Res. J. Sci. Technol.;Unknown;Economic Viability, Renewable Energy, Microgrids;Pending;No;"Fails: focuses on renewable energy microgrid engineering, not digital transformation or decentralization as governance; sustainability is ecological/technical";N/A
12;Round 1;Backward;Agupugo, Ajayi, Nwanevu & Oladipo;2022;Policy and regulatory framework supporting renewable energy microgrids and energy storage systems;Open Access Res. J. Sci. Technol.;Unknown;Policy, Regulatory Framework, Renewable Energy, Energy Storage;Pending;No;"Fails: focuses on renewable energy microgrid engineering, not digital transformation or decentralization as governance; sustainability is ecological/technical";N/A
13;Round 1;Backward;Agupugo, Kehinde & Manuel;2024;Optimization of microgrid operations using renewable energy sources;Engineering Science & Technology Journal;Unknown;Microgrid, Optimization, Renewable Energy;Pending;No;"Fails: focuses on renewable energy microgrid engineering, not digital transformation or decentralization as governance; sustainability is ecological/technical";10.51594/estj.v5i7
14;Round 1;Backward;Akerele, Uzoka, Ojukwu & Olamijuwon;2024;Minimizing downtime in E-Commerce platforms through containerization and orchestration;International Journal of Multidisciplinary Research Updates;Unknown;E-Commerce, Containerization, Orchestration, Downtime;Pending;No;"Fails: IT infrastructure optimization; lacks decentralization and sustainability-as-stability dimensions";10.53430/ijmru.2024.8.2.0056
15;Round 1;Backward;Akerele, Uzoka, Ojukwu & Olamijuwon;2024;Optimizing traffic management for public services during high-demand periods using cloud load balancers;Computer Science & IT Research Journal;Unknown;Traffic Management, Cloud, Load Balancers;Pending;No;"Fails: IT infrastructure optimization; lacks decentralization and sustainability-as-stability dimensions";10.51594/csitrj.v5i11.1710
16;Round 1;Backward;Akerele, Uzoka, Ojukwu & Olamijuwon;2024;Data management solutions for real-time analytics in retail cloud environments;Engineering Science & Technology Journal;Unknown;Data Management, Real-Time Analytics, Cloud, Retail;Pending;No;"Fails: IT infrastructure optimization; lacks decentralization and sustainability-as-stability dimensions";10.51594/estj.v5i11.1706
17;Round 1;Backward;Akerele, Uzoka, Ojukwu & Olamijuwon;2024;Improving healthcare application scalability through microservices architecture in the cloud;International Journal of Scientific Research Updates;Unknown;Healthcare, Microservices, Cloud, Scalability;Pending;No;"Fails: IT infrastructure optimization; lacks decentralization and sustainability-as-stability dimensions";10.53430/ijsru.2024.8.2.0064
18;Round 1;Backward;Akerele, Uzoka, Ojukwu & Olamijuwon;2024;Increasing software deployment speed in agile environments through automated configuration management;International Journal of Engineering Research Updates;Unknown;Software Deployment, Agile, Configuration Management;Pending;No;"Fails: IT infrastructure optimization; lacks decentralization and sustainability-as-stability dimensions";10.53430/ijeru.2024.7.2.0047
19;Round 1;Backward;Audu & Umana;2024;Advances in environmental compliance monitoring in the oil and gas industry: Challenges and opportunities;International Journal of Scientific Research Updates;Unknown;Environmental Compliance, Oil and Gas, Monitoring;Pending;No;Fails: sustainability framed purely in ecological/environmental compliance terms;10.53430/ijsru.2024.8.2.0062
20;Round 1;Backward;Audu & Umana;2024;The role of environmental compliance in oil and gas production: A critical assessment of pollution control strategies in the Nigerian petrochemical industry;International Journal of Scientific Research Updates;Unknown;Environmental Compliance, Oil and Gas, Nigeria, Pollution Control;Pending;No;Fails: sustainability framed purely in ecological/environmental compliance terms;10.53430/ijsru.2024.8.2.0061
21;Round 1;Backward;Audu, Umana & Garba;2024;The role of digital tools in enhancing environmental monitoring and business efficiency;International Journal of Multidisciplinary Research Updates;Unknown;Digital Tools, Environmental Monitoring, Business Efficiency;Pending;No;Fails: sustainability framed as environmental monitoring, not institutional stability;10.53430/ijmru.2024.8.2.0052
22;Round 1;Backward;Barrie, Agupugo, Iguare & Folarin;2024;Leveraging machine learning to optimize renewable energy integration in developing economies;Global Journal of Engineering and Technology Advances;Unknown;Machine Learning, Renewable Energy, Developing Economies;Pending;No;"Fails: renewable energy + machine learning; sustainability is ecological/technical, no C1 or C3 as stability";N/A
23;Round 1;Backward;Bassey & Ibegbulam;2023;Machine learning for green hydrogen production;Computer Science & IT Research Journal;Unknown;Machine Learning, Green Hydrogen, Energy;Pending;No;"Fails: renewable energy + machine learning; sustainability is ecological/technical, no C1 or C3 as stability";N/A
24;Round 1;Backward;Bassey;2022;Optimizing wind farm performance using machine learning;Engineering Science & Technology Journal;Unknown;Wind Farm, Machine Learning, Energy Optimization;Pending;No;"Fails: renewable energy + machine learning; sustainability is ecological/technical, no C1 or C3 as stability";N/A
25;Round 1;Backward;Bassey;2023;Hybrid renewable energy systems modeling;Engineering Science & Technology Journal;Unknown;Hybrid Renewable Energy, Modeling, Systems;Pending;No;"Fails: renewable energy + machine learning; sustainability is ecological/technical, no C1 or C3 as stability";N/A
26;Round 1;Backward;Bassey;2023;Hydrokinetic energy devices: studying devices that generate power from flowing water without dams;Engineering Science & Technology Journal;Unknown;Hydrokinetic Energy, Renewable Energy, Dams;Pending;No;"Fails: renewable energy + machine learning; sustainability is ecological/technical, no C1 or C3 as stability";N/A
27;Round 1;Backward;Bassey;2023;Solar energy forecasting with deep learning technique;Engineering Science & Technology Journal;Unknown;Solar Energy, Deep Learning, Forecasting;Pending;No;"Fails: renewable energy + machine learning; sustainability is ecological/technical, no C1 or C3 as stability";N/A
28;Round 1;Backward;Bassey;2024;From waste to wonder: Developing engineered nanomaterials for multifaceted applications;GSC Advanced Research and Reviews;Unknown;Nanomaterials, Waste, Engineering, Sustainability;Pending;No;Fails: nanomaterials engineering, no core concepts addressed;N/A
29;Round 1;Backward;Bassey, Aigbovbiosa & Agupugo;2024;Risk management strategies in renewable energy investment;International Journal of Novel Research in Engineering and Science;Unknown;Risk Management, Renewable Energy, Investment;Pending;No;"Fails: renewable energy investment risk; no digital transformation or decentralization";N/A
30;Round 1;Backward;Bassey, Juliet & Stephen;2024;AI-Enhanced lifecycle assessment of renewable energy systems;Engineering Science & Technology Journal;Unknown;AI, Lifecycle Assessment, Renewable Energy;Pending;No;"Fails: lifecycle assessment of renewable energy systems; sustainability is ecological";N/A
31;Round 1;Backward;Bassey, Opoku-Boateng, Antwi & Ntiakoh;2024;Economic impact of digital twins on renewable energy investments;Engineering Science & Technology Journal;Unknown;Digital Twins, Renewable Energy, Economic Impact;Pending;No;"Fails: digital twin for renewable energy; sustainability is ecological/technical not stable development";N/A
32;Round 1;Backward;Bassey, Opoku-Boateng, Antwi, Ntiakoh & Juliet;2024;Digital twin technology for renewable energy microgrids;Engineering Science & Technology Journal;Unknown;Digital Twins, Renewable Energy, Microgrids;Pending;No;"Fails: digital twin technology for renewable microgrids; sustainability ecological";N/A
33;Round 1;Backward;Bassey, Rajput, Oladepo & Oyewale;2024;Optimizing behavioral and economic strategies for the ubiquitous integration of wireless energy transmission in smart cities;Open Access Res. J. Multidisciplinary;Unknown;Wireless Energy, Smart Cities, Economic Strategy, Behavioral;Pending;No;"Fails: wireless energy in smart cities; insufficient coverage of decentralization and sustainability-as-stability";N/A
34;Round 1;Backward;Bello, Folorunso, Ejiofor, Budale, Adebayo & Babatunde;2023;Machine learning approaches for enhancing fraud prevention in financial transactions;International Journal of Management Technology;Unknown;Machine Learning, Fraud Prevention, Financial Transactions;Pending;No;"Fails: machine learning fraud detection; no decentralization or sustainability-as-stability concepts";N/A
35;Round 1;Backward;Bello, Folorunso, Ogundipe, Kazeem, Budale, Zainab & Ejiofor;2022;Enhancing cyber financial fraud detection using deep learning techniques: a study on neural networks and anomaly detection;International Journal of Network and Communication Research;Unknown;Deep Learning, Fraud Detection, Neural Networks, Anomaly Detection;Pending;No;"Fails: machine learning fraud detection; no decentralization or sustainability-as-stability concepts";N/A
36;Round 1;Backward;Bello, Folorunso, Onwuchekwa & Ejiofor;2023;A Comprehensive Framework for Strengthening USA Financial Cybersecurity: Integrating Machine Learning and AI in Fraud Detection Systems;European Journal of Computer Science and Information Technology;Unknown;Cybersecurity, Machine Learning, AI, Fraud Detection;Pending;No;"Fails: machine learning fraud detection; no decentralization or sustainability-as-stability concepts";N/A
37;Round 1;Backward;Bello, Folorunso, Onwuchekwa, Ejiofor, Budale & Egwuonwu;2023;Analysing the Impact of Advanced Analytics on Fraud Detection: A Machine Learning Perspective;European Journal of Computer Science and Information Technology;Unknown;Advanced Analytics, Fraud Detection, Machine Learning;Pending;No;"Fails: machine learning fraud detection; no decentralization or sustainability-as-stability concepts";N/A
